mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
0.17760074138641357,0.008092284202575684,0.009024381637573242,5.6743621826171875e-05,10,sqrt,2,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.08715498447418213,0.0011752843856811523,0.005199432373046875,5.650520324707031e-05,10,sqrt,1,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.16957402229309082,0.00024962425231933594,0.008719325065612793,0.00018918514251708984,10,log2,2,5,200,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.09244954586029053,0.003906846046447754,0.005465030670166016,0.0002701282501220703,15,sqrt,1,2,100,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,1.0,1.0,1.0,0.0
0.046100616455078125,0.0014925003051757812,0.0034286975860595703,3.838539123535156e-05,15,log2,2,5,50,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.15770792961120605,0.0038328170776367188,0.008586287498474121,0.00012004375457763672,15,log2,2,2,200,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.08462989330291748,0.000502467155456543,0.005211234092712402,8.952617645263672e-05,15,log2,2,2,100,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.04156780242919922,0.0033240318298339844,0.003584742546081543,0.0003401041030883789,15,log2,2,2,50,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.16381573677062988,0.0002949237823486328,0.008521318435668945,0.00022459030151367188,15,log2,1,5,200,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
0.08478164672851562,0.003011941909790039,0.005636096000671387,0.0002721548080444336,15,log2,1,5,100,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.75,0.875,0.125,1,0.75,1.0,0.875,0.125
