ticket,direction,time_to_hedge_minutes,adx,plus_di,minus_di,trend_strength,vwap_distance,price_move_pct,confluence_score,hedge_count,dca_count,profit,win,at_swing_low,at_swing_high
54572356809,BUY,56.5,19.54628818720863,14.326538918095395,25.666745446931582,11.340206528836188,0.5063573424540999,15.464420116318845,20,1,3,2.88,1,True,False
54579142812,BUY,11.016666666666667,15.112276554527872,17.247489728630914,18.88096835836051,1.633478629729595,0.4276357338002859,0.01111814309905098,17,1,3,-0.4,0,True,False
54585605776,BUY,46.03333333333333,15.42215657352827,16.4196198263628,22.919890915873452,6.500271089510651,0.4476433927915529,15.52963527136427,20,2,4,3.12,1,False,True
54585605776,BUY,46.03333333333333,15.42215657352827,16.4196198263628,22.919890915873452,6.500271089510651,0.4476433927915529,15.52963527136427,20,2,4,3.12,1,False,True
